,Unnamed: 0,Rank,Song,Artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Popularity
24,24,25,COLD WATER,Major Lazer Featuring Justin Bieber & MO,0.055,https://api.spotify.com/v1/audio-analysis/7zsXy7vlHdItvUSH8EwQss,0.602,185360,0.797,7zsXy7vlHdItvUSH8EwQss,0,6,0.187,-5.084,0,0.0534,92.928,4,https://api.spotify.com/v1/tracks/7zsXy7vlHdItvUSH8EwQss,audio_features,spotify:track:7zsXy7vlHdItvUSH8EwQss,0.487,79
25,25,26,SEND MY LOVE (TO YOUR NEW LOVER),Adele,0.0415,https://api.spotify.com/v1/audio-analysis/4BHzQ9C00ceJxfG16AlNWb,0.69,223080,0.524,4BHzQ9C00ceJxfG16AlNWb,3.16e-06,6,0.17,-8.39,0,0.103,164.023,4,https://api.spotify.com/v1/tracks/4BHzQ9C00ceJxfG16AlNWb,audio_features,spotify:track:4BHzQ9C00ceJxfG16AlNWb,0.561,75
26,26,27,ROSES,The Chainsmokers Featuring Rozes,0.0435,https://api.spotify.com/v1/audio-analysis/3vv9phIu6Y1vX3jcqaGz5Z,0.713,226739,0.802,3vv9phIu6Y1vX3jcqaGz5Z,0.00377,4,0.309,-7.055,1,0.0561,100.001,4,https://api.spotify.com/v1/tracks/3vv9phIu6Y1vX3jcqaGz5Z,audio_features,spotify:track:3vv9phIu6Y1vX3jcqaGz5Z,0.339,80
27,27,28,TREAT YOU BETTER,Shawn Mendes,0.118,https://api.spotify.com/v1/audio-analysis/3QGsuHI8jO1Rx4JWLUh9jd,0.672,187973,0.81,3QGsuHI8jO1Rx4JWLUh9jd,0,10,0.106,-4.104,0,0.226,82.888,4,https://api.spotify.com/v1/tracks/3QGsuHI8jO1Rx4JWLUh9jd,audio_features,spotify:track:3QGsuHI8jO1Rx4JWLUh9jd,0.775,79
28,28,29,TOO GOOD,Drake Featuring Rihanna,0.0662,https://api.spotify.com/v1/audio-analysis/3BtuIIrQlkujKPuWF2B85z,0.82,263373,0.641,3BtuIIrQlkujKPuWF2B85z,5.07e-05,4,0.102,-7.811,0,0.116,117.974,4,https://api.spotify.com/v1/tracks/3BtuIIrQlkujKPuWF2B85z,audio_features,spotify:track:3BtuIIrQlkujKPuWF2B85z,0.374,74
29,29,30,LOW LIFE,Future Featuring The Weeknd,0.337,https://api.spotify.com/v1/audio-analysis/7EiZI6JVHllARrX9PUvAdX,0.722,313547,0.331,7EiZI6JVHllARrX9PUvAdX,0.283,8,0.146,-7.789,1,0.0725,143.974,4,https://api.spotify.com/v1/tracks/7EiZI6JVHllARrX9PUvAdX,audio_features,spotify:track:7EiZI6JVHllARrX9PUvAdX,0.102,83
30,30,31,WHAT DO YOU MEAN?,Justin Bieber,0.61,https://api.spotify.com/v1/audio-analysis/4B0JvthVoAAuygILe3n4Bs,0.837,205680,0.571,4B0JvthVoAAuygILe3n4Bs,0.000898,5,0.0849,-8.273,0,0.0922,125.034,4,https://api.spotify.com/v1/tracks/4B0JvthVoAAuygILe3n4Bs,audio_features,spotify:track:4B0JvthVoAAuygILe3n4Bs,0.802,76
31,31,32,THE HILLS,The Weeknd,0.0635,https://api.spotify.com/v1/audio-analysis/7fBv7CLKzipRk6EC6TWHOB,0.54,242253,0.561,7fBv7CLKzipRk6EC6TWHOB,0,0,0.137,-6.987,0,0.0699,113.295,4,https://api.spotify.com/v1/tracks/7fBv7CLKzipRk6EC6TWHOB,audio_features,spotify:track:7fBv7CLKzipRk6EC6TWHOB,0.123,79
32,32,33,JUST LIKE FIRE,P!nk,0.0114,https://api.spotify.com/v1/audio-analysis/7K5dzhGda2vRTaAWYI3hrb,0.632,215414,0.701,7K5dzhGda2vRTaAWYI3hrb,0,7,0.108,-5.921,1,0.146,162.958,4,https://api.spotify.com/v1/tracks/7K5dzhGda2vRTaAWYI3hrb,audio_features,spotify:track:7K5dzhGda2vRTaAWYI3hrb,0.488,75
33,33,34,BROCCOLI,D.R.A.M. Featuring Lil Yachty,0.236,https://api.spotify.com/v1/audio-analysis/0qy5D3OJre7SPJNMOL9I71,0.886,225205,0.525,0qy5D3OJre7SPJNMOL9I71,0,8,0.057,-7.39,1,0.132,145.99,4,https://api.spotify.com/v1/tracks/0qy5D3OJre7SPJNMOL9I71,audio_features,spotify:track:0qy5D3OJre7SPJNMOL9I71,0.711,78
34,34,35,DON'T,Bryson Tiller,0.222,https://api.spotify.com/v1/audio-analysis/3pXF1nA74528Edde4of9CC,0.765,198293,0.356,3pXF1nA74528Edde4of9CC,0,11,0.0963,-5.556,0,0.196,97.001,4,https://api.spotify.com/v1/tracks/3pXF1nA74528Edde4of9CC,audio_features,spotify:track:3pXF1nA74528Edde4of9CC,0.191,81
35,35,36,DANGEROUS WOMAN,Ariana Grande,0.0499,https://api.spotify.com/v1/audio-analysis/7l94dyN2hX9c6wWcZQuOGJ,0.672,235947,0.605,7l94dyN2hX9c6wWcZQuOGJ,0,7,0.357,-5.353,1,0.0378,134.015,3,https://api.spotify.com/v1/tracks/7l94dyN2hX9c6wWcZQuOGJ,audio_features,spotify:track:7l94dyN2hX9c6wWcZQuOGJ,0.292,75
36,36,37,JUMPMAN,Drake & Future,0.0565,https://api.spotify.com/v1/audio-analysis/27GmP9AWRs744SzKcpJsTZ,0.853,205879,0.547,27GmP9AWRs744SzKcpJsTZ,0,1,0.341,-7.535,1,0.194,142.065,4,https://api.spotify.com/v1/tracks/27GmP9AWRs744SzKcpJsTZ,audio_features,spotify:track:27GmP9AWRs744SzKcpJsTZ,0.677,78
37,37,38,I HATE U I LOVE U,gnash Featuring Olivia O'Brien,0.687,https://api.spotify.com/v1/audio-analysis/7vRriwrloYVaoAe3a9wJHe,0.492,251034,0.275,7vRriwrloYVaoAe3a9wJHe,0,6,0.101,-13.4,0,0.3,92.6,4,https://api.spotify.com/v1/tracks/7vRriwrloYVaoAe3a9wJHe,audio_features,spotify:track:7vRriwrloYVaoAe3a9wJHe,0.18,84
38,38,39,HERE,Alessia Cara,0.0716,https://api.spotify.com/v1/audio-analysis/1wYZZtamWTQAoj8B812uKQ,0.375,199453,0.822,1wYZZtamWTQAoj8B812uKQ,0,0,0.0694,-4.029,1,0.167,123.363,4,https://api.spotify.com/v1/tracks/1wYZZtamWTQAoj8B812uKQ,audio_features,spotify:track:1wYZZtamWTQAoj8B812uKQ,0.353,71
39,39,40,SAME OLD LOVE,Selena Gomez,0.0236,https://api.spotify.com/v1/audio-analysis/1BZG99C7Co1r6QUC3zaS59,0.671,229080,0.596,1BZG99C7Co1r6QUC3zaS59,0,11,0.228,-4.005,0,0.031,98.025,4,https://api.spotify.com/v1/tracks/1BZG99C7Co1r6QUC3zaS59,audio_features,spotify:track:1BZG99C7Co1r6QUC3zaS59,0.444,72
40,40,41,CONTROLLA,Drake,0.0962,https://api.spotify.com/v1/audio-analysis/4CpKEkdGbOJV51cSvx7SoG,0.747,245227,0.477,4CpKEkdGbOJV51cSvx7SoG,0,10,0.114,-11.062,0,0.276,93.44,4,https://api.spotify.com/v1/tracks/4CpKEkdGbOJV51cSvx7SoG,audio_features,spotify:track:4CpKEkdGbOJV51cSvx7SoG,0.339,74
41,41,42,LIKE I'M GONNA LOSE YOU,Meghan Trainor Featuring John Legend,0.4,https://api.spotify.com/v1/audio-analysis/2YlZnw2ikdb837oKMKjBkW,0.63,225053,0.53,2YlZnw2ikdb837oKMKjBkW,0,0,0.177,-7.259,1,0.0434,108.038,3,https://api.spotify.com/v1/tracks/2YlZnw2ikdb837oKMKjBkW,audio_features,spotify:track:2YlZnw2ikdb837oKMKjBkW,0.435,81
42,42,43,ONE CALL AWAY,Charlie Puth,0.403,https://api.spotify.com/v1/audio-analysis/7soJgKhQTO8hLP2JPRkL5O,0.667,194453,0.613,7soJgKhQTO8hLP2JPRkL5O,0,1,0.115,-5.353,1,0.0344,91.024,4,https://api.spotify.com/v1/tracks/7soJgKhQTO8hLP2JPRkL5O,audio_features,spotify:track:7soJgKhQTO8hLP2JPRkL5O,0.479,73
43,43,44,LET IT GO,James Bay,0.804,https://api.spotify.com/v1/audio-analysis/13HVjjWUZFaWilh2QUJKsP,0.568,260533,0.293,13HVjjWUZFaWilh2QUJKsP,1.26e-05,1,0.107,-10.253,1,0.0313,147.175,4,https://api.spotify.com/v1/tracks/13HVjjWUZFaWilh2QUJKsP,audio_features,spotify:track:13HVjjWUZFaWilh2QUJKsP,0.252,77
44,44,45,NO,Meghan Trainor,0.0125,https://api.spotify.com/v1/audio-analysis/0l0CvurVUrr2w3Jj1hOVFc,0.557,213507,0.801,0l0CvurVUrr2w3Jj1hOVFc,1.66e-06,1,0.737,-3.602,0,0.218,92.135,4,https://api.spotify.com/v1/tracks/0l0CvurVUrr2w3Jj1hOVFc,audio_features,spotify:track:0l0CvurVUrr2w3Jj1hOVFc,0.645,76
45,45,46,NEVER FORGET YOU,Zara Larsson & MNEK,0.00312,https://api.spotify.com/v1/audio-analysis/6hmhG1b4LEyNuashVvuIAo,0.583,213428,0.732,6hmhG1b4LEyNuashVvuIAo,9.86e-06,11,0.269,-5.728,0,0.0457,145.992,4,https://api.spotify.com/v1/tracks/6hmhG1b4LEyNuashVvuIAo,audio_features,spotify:track:6hmhG1b4LEyNuashVvuIAo,0.292,79
46,46,47,LET ME LOVE YOU,DJ Snake Featuring Justin Bieber,0.0771,https://api.spotify.com/v1/audio-analysis/0lYBSQXN6rCTvUZvg9S0lU,0.652,205947,0.713,0lYBSQXN6rCTvUZvg9S0lU,1.02e-05,8,0.144,-5.311,1,0.0368,100.023,4,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU,audio_features,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,0.147,80
47,47,48,DON'T MIND,Kent Jones,0.0235,https://api.spotify.com/v1/audio-analysis/27PmvZoffODNFW2p7ehZTQ,0.464,198237,0.771,27PmvZoffODNFW2p7ehZTQ,0,8,0.063,-4.503,1,0.336,158.777,4,https://api.spotify.com/v1/tracks/27PmvZoffODNFW2p7ehZTQ,audio_features,spotify:track:27PmvZoffODNFW2p7ehZTQ,0.678,76
48,48,49,H.O.L.Y.,Florida Georgia Line,0.385,https://api.spotify.com/v1/audio-analysis/0BCy325UZyR9z0t0uxwn2N,0.525,194187,0.685,0BCy325UZyR9z0t0uxwn2N,0,7,0.0731,-3.954,0,0.0351,78.003,4,https://api.spotify.com/v1/tracks/0BCy325UZyR9z0t0uxwn2N,audio_features,spotify:track:0BCy325UZyR9z0t0uxwn2N,0.522,79
49,49,50,WE DON'T TALK ANYMORE,Charlie Puth Featuring Selena Gomez,0.621,https://api.spotify.com/v1/audio-analysis/37FXw5QGFN7uwwsLy8uAc0,0.728,217707,0.563,37FXw5QGFN7uwwsLy8uAc0,0,1,0.179,-8.053,0,0.134,100.017,4,https://api.spotify.com/v1/tracks/37FXw5QGFN7uwwsLy8uAc0,audio_features,spotify:track:37FXw5QGFN7uwwsLy8uAc0,0.35,78
50,50,51,INTO YOU,Ariana Grande,0.0153,https://api.spotify.com/v1/audio-analysis/2meEiZKWkiN28gITzFwQo5,0.636,244453,0.728,2meEiZKWkiN28gITzFwQo5,1.46e-06,9,0.154,-5.871,1,0.0999,107.986,4,https://api.spotify.com/v1/tracks/2meEiZKWkiN28gITzFwQo5,audio_features,spotify:track:2meEiZKWkiN28gITzFwQo5,0.384,78
51,51,52,GOLD,Kiiara,0.615,https://api.spotify.com/v1/audio-analysis/6ZSO7kPn8IMJFymyticbJO,0.6,225882,0.412,6ZSO7kPn8IMJFymyticbJO,0.0025,8,0.134,-9.343,1,0.344,113.049,5,https://api.spotify.com/v1/tracks/6ZSO7kPn8IMJFymyticbJO,audio_features,spotify:track:6ZSO7kPn8IMJFymyticbJO,0.409,79
52,52,53,EXCHANGE,Bryson Tiller,0.108,https://api.spotify.com/v1/audio-analysis/43PuMrRfbyyuz4QpZ3oAwN,0.53,194613,0.433,43PuMrRfbyyuz4QpZ3oAwN,0,6,0.135,-10.598,1,0.185,160.14,4,https://api.spotify.com/v1/tracks/43PuMrRfbyyuz4QpZ3oAwN,audio_features,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,0.272,82
53,53,54,679,Fetty Wap Featuring Remy Boyz,0.00256,https://api.spotify.com/v1/audio-analysis/5NQbUaeTEOGdD6hHcre0dZ,0.618,196693,0.717,5NQbUaeTEOGdD6hHcre0dZ,0,7,0.625,-5.738,1,0.318,190.05,4,https://api.spotify.com/v1/tracks/5NQbUaeTEOGdD6hHcre0dZ,audio_features,spotify:track:5NQbUaeTEOGdD6hHcre0dZ,0.601,79
54,54,55,OUI,Jeremih,0.192,https://api.spotify.com/v1/audio-analysis/0PJIbOdMs3bd5AT8liULMQ,0.715,238320,0.703,0PJIbOdMs3bd5AT8liULMQ,0,5,0.113,-3.825,1,0.0503,119.749,4,https://api.spotify.com/v1/tracks/0PJIbOdMs3bd5AT8liULMQ,audio_features,spotify:track:0PJIbOdMs3bd5AT8liULMQ,0.599,76
55,55,56,HANDS TO MYSELF,Selena Gomez,0.0165,https://api.spotify.com/v1/audio-analysis/1LoriJC05IrHIDwj3q0KC1,0.803,200680,0.504,1LoriJC05IrHIDwj3q0KC1,5.25e-06,5,0.335,-7.218,0,0.0979,111.014,4,https://api.spotify.com/v1/tracks/1LoriJC05IrHIDwj3q0KC1,audio_features,spotify:track:1LoriJC05IrHIDwj3q0KC1,0.488,74
