,Rank,Song,Artist,Year,Source,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Popularity
1194,95,tryin to get the feeling again,barry manilow,1976,1.0,0.663,https://api.spotify.com/v1/audio-analysis/3IBQzAK4iqnqjklEWg5eJ6,0.268,229720,0.598,3IBQzAK4iqnqjklEWg5eJ6,9.62e-06,3,0.195,-8.308,1,0.0502,139.548,4,https://api.spotify.com/v1/tracks/3IBQzAK4iqnqjklEWg5eJ6,audio_features,spotify:track:3IBQzAK4iqnqjklEWg5eJ6,0.307,36
1195,96,rock and roll all nite live,kiss,1976,3.0,0.027,https://api.spotify.com/v1/audio-analysis/2u5sXeyWB9BseShQWtyYLY,0.31,441547,0.987,2u5sXeyWB9BseShQWtyYLY,0.0844,1,0.996,-5.141,1,0.129,138.922,4,https://api.spotify.com/v1/tracks/2u5sXeyWB9BseShQWtyYLY,audio_features,spotify:track:2u5sXeyWB9BseShQWtyYLY,0.101,35
1196,97,disco duck,rick dees  his cast of idiots,1976,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1197,98,take the money and run,steve miller band,1976,1.0,0.0504,https://api.spotify.com/v1/audio-analysis/1ZhrREyOOeFV6TxDOyiPwu,0.571,170173,0.633,1ZhrREyOOeFV6TxDOyiPwu,1.64e-06,0,0.171,-12.942,1,0.0475,98.412,4,https://api.spotify.com/v1/tracks/1ZhrREyOOeFV6TxDOyiPwu,audio_features,spotify:track:1ZhrREyOOeFV6TxDOyiPwu,0.843,63
1198,99,squeeze box,the who,1976,3.0,0.564,https://api.spotify.com/v1/audio-analysis/4lzNP52B3CfeVr2drfPh6X,0.628,161440,0.881,4lzNP52B3CfeVr2drfPh6X,7.39e-05,7,0.1,-5.302,1,0.0309,133.209,4,https://api.spotify.com/v1/tracks/4lzNP52B3CfeVr2drfPh6X,audio_features,spotify:track:4lzNP52B3CfeVr2drfPh6X,0.778,46
1199,100,country boy you got your feet in la,glen campbell,1976,1.0,0.473,https://api.spotify.com/v1/audio-analysis/1IWPbPXn33bYcJXkhR8fz5,0.643,186760,0.565,1IWPbPXn33bYcJXkhR8fz5,0,10,0.148,-14.604,1,0.0277,114.279,4,https://api.spotify.com/v1/tracks/1IWPbPXn33bYcJXkhR8fz5,audio_features,spotify:track:1IWPbPXn33bYcJXkhR8fz5,0.9,41
1200,1,tonights the night gonna be alright,rod stewart,1977,1.0,0.336,https://api.spotify.com/v1/audio-analysis/10LRRKPmx8uHcSxLVWK0ct,0.55,237120,0.514,10LRRKPmx8uHcSxLVWK0ct,0.125,11,0.382,-12.617,1,0.0523,136.542,3,https://api.spotify.com/v1/tracks/10LRRKPmx8uHcSxLVWK0ct,audio_features,spotify:track:10LRRKPmx8uHcSxLVWK0ct,0.709,51
1201,2,i just want to be your everything,andy gibb,1977,1.0,0.169,https://api.spotify.com/v1/audio-analysis/5EdlwzcgIAYs2HGvOnczPN,0.648,225667,0.656,5EdlwzcgIAYs2HGvOnczPN,1.17e-05,9,0.164,-7.393,1,0.0345,97.093,4,https://api.spotify.com/v1/tracks/5EdlwzcgIAYs2HGvOnczPN,audio_features,spotify:track:5EdlwzcgIAYs2HGvOnczPN,0.834,47
1202,3,best of my love,the emotions,1977,1.0,0.45,https://api.spotify.com/v1/audio-analysis/6UjlpJhUqOQqv0hrb38IDI,0.764,219933,0.57,6UjlpJhUqOQqv0hrb38IDI,0.362,0,0.0812,-11.361,1,0.0348,115.376,4,https://api.spotify.com/v1/tracks/6UjlpJhUqOQqv0hrb38IDI,audio_features,spotify:track:6UjlpJhUqOQqv0hrb38IDI,0.972,61
1203,4,evergreen love theme from a star is born,barbra streisand,1977,1.0,0.932,https://api.spotify.com/v1/audio-analysis/2IcqY68BxP1ONPi3ME6aje,0.335,184800,0.303,2IcqY68BxP1ONPi3ME6aje,0.0271,9,0.0907,-10.943,1,0.0315,114.224,4,https://api.spotify.com/v1/tracks/2IcqY68BxP1ONPi3ME6aje,audio_features,spotify:track:2IcqY68BxP1ONPi3ME6aje,0.168,51
1204,5,angel in your arms,hot,1977,3.0,0.647,https://api.spotify.com/v1/audio-analysis/1X7deB82EPo7pLcMdVU6n8,0.622,175547,0.388,1X7deB82EPo7pLcMdVU6n8,0,6,0.545,-14.041,1,0.0873,81.115,4,https://api.spotify.com/v1/tracks/1X7deB82EPo7pLcMdVU6n8,audio_features,spotify:track:1X7deB82EPo7pLcMdVU6n8,0.712,15
1205,6,i like dreamin,kenny nolan,1977,3.0,0.953,https://api.spotify.com/v1/audio-analysis/4wlRO5dyyO7jYrzs2PltV8,0.626,221560,0.181,4wlRO5dyyO7jYrzs2PltV8,0.00769,4,0.103,-14.203,0,0.0394,123.911,4,https://api.spotify.com/v1/tracks/4wlRO5dyyO7jYrzs2PltV8,audio_features,spotify:track:4wlRO5dyyO7jYrzs2PltV8,0.261,31
1206,7,dont leave me this way,thelma houston,1977,1.0,0.0986,https://api.spotify.com/v1/audio-analysis/6OYlE1SrosD9Swah1Rxkdt,0.531,218907,0.667,6OYlE1SrosD9Swah1Rxkdt,5.74e-06,0,0.0915,-9.721,0,0.059,121.065,4,https://api.spotify.com/v1/tracks/6OYlE1SrosD9Swah1Rxkdt,audio_features,spotify:track:6OYlE1SrosD9Swah1Rxkdt,0.714,47
1207,8,your love has lifted me higher and higher,rita coolidge,1977,,0.0478,https://api.spotify.com/v1/audio-analysis/1psURAAW0VzbVqwJU3B4gf,0.652,242867,0.614,1psURAAW0VzbVqwJU3B4gf,0.0113,1,0.075,-10.291,1,0.0326,117.677,4,https://api.spotify.com/v1/tracks/1psURAAW0VzbVqwJU3B4gf,audio_features,spotify:track:1psURAAW0VzbVqwJU3B4gf,0.729,31
1208,9,undercover angel,alan oday,1977,5.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1209,10,torn between two lovers,mary macgregor,1977,3.0,0.898,https://api.spotify.com/v1/audio-analysis/0uSrLvAGZPVkO2DgCj6DfC,0.551,231732,0.479,0uSrLvAGZPVkO2DgCj6DfC,0.0901,10,0.148,-9.2,1,0.0301,130.248,4,https://api.spotify.com/v1/tracks/0uSrLvAGZPVkO2DgCj6DfC,audio_features,spotify:track:0uSrLvAGZPVkO2DgCj6DfC,0.568,33
1210,11,im your boogie man,kc and the sunshine band,1977,,0.0144,https://api.spotify.com/v1/audio-analysis/6mjlbRIgMTf2nqY0kq1rOJ,0.753,242133,0.753,6mjlbRIgMTf2nqY0kq1rOJ,4.43e-05,5,0.0711,-13.023,0,0.0436,113.068,4,https://api.spotify.com/v1/tracks/6mjlbRIgMTf2nqY0kq1rOJ,audio_features,spotify:track:6mjlbRIgMTf2nqY0kq1rOJ,0.912,50
1211,12,dancing queen,abba,1977,1.0,0.42,https://api.spotify.com/v1/audio-analysis/4NtUY5IGzHCaqfZemmAu56,0.546,230693,0.879,4NtUY5IGzHCaqfZemmAu56,0.00188,9,0.775,-6.397,1,0.0441,100.819,4,https://api.spotify.com/v1/tracks/4NtUY5IGzHCaqfZemmAu56,audio_features,spotify:track:4NtUY5IGzHCaqfZemmAu56,0.772,69
1212,13,you make me feel like dancing,leo sayer,1977,1.0,0.106,https://api.spotify.com/v1/audio-analysis/1kuX1tb3QUKAalYEc4ai5t,0.746,172587,0.677,1kuX1tb3QUKAalYEc4ai5t,5.08e-06,8,0.123,-7.128,0,0.0369,95.601,4,https://api.spotify.com/v1/tracks/1kuX1tb3QUKAalYEc4ai5t,audio_features,spotify:track:1kuX1tb3QUKAalYEc4ai5t,0.821,47
1213,14,margaritaville,jimmy buffett,1977,1.0,0.664,https://api.spotify.com/v1/audio-analysis/57FvuUotRyzRl8hwIhCVuO,0.797,248250,0.474,57FvuUotRyzRl8hwIhCVuO,0.000132,2,0.094,-15.841,1,0.0375,125.1,4,https://api.spotify.com/v1/tracks/57FvuUotRyzRl8hwIhCVuO,audio_features,spotify:track:57FvuUotRyzRl8hwIhCVuO,0.818,61
1214,15,telephone line,electric light orchestra,1977,1.0,0.771,https://api.spotify.com/v1/audio-analysis/3SPcBPzvbmWLl8NU5efx4W,0.467,280360,0.367,3SPcBPzvbmWLl8NU5efx4W,2.27e-05,9,0.0847,-8.164,1,0.0298,70.856,4,https://api.spotify.com/v1/tracks/3SPcBPzvbmWLl8NU5efx4W,audio_features,spotify:track:3SPcBPzvbmWLl8NU5efx4W,0.208,60
1215,16,whatcha gonna do,pablo cruise,1977,3.0,0.0802,https://api.spotify.com/v1/audio-analysis/5mkNVpNE5n4biHtevTFgO0,0.727,256960,0.667,5mkNVpNE5n4biHtevTFgO0,0.000123,0,0.155,-9.676,1,0.0383,110.627,4,https://api.spotify.com/v1/tracks/5mkNVpNE5n4biHtevTFgO0,audio_features,spotify:track:5mkNVpNE5n4biHtevTFgO0,0.954,40
